env,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence,wind_force
WindyCartPole-v1,linear_tree_ridge,6,False,63.202,76.2607686465618,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,6,True,45.8,77.8594200436681,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,8,False,56.336,64.8850220817949,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,8,True,53.116,70.3663023571052,0.1,0.6
WindyCartPole-v1,DDQN,,,50.848,43.9152015355086,0.1,0.8
WindyCartPole-v1,decision_tree,1,False,15.308,27.7704419911158,0.1,0.8
WindyCartPole-v1,decision_tree,1,True,24.074,27.3017584946415,0.1,0.8
WindyCartPole-v1,decision_tree,2,False,20.452,27.283896244866,0.1,0.8
WindyCartPole-v1,decision_tree,2,True,58.134,27.4749530395294,0.1,0.8
WindyCartPole-v1,decision_tree,4,False,42.736,27.3508302134032,0.1,0.8
WindyCartPole-v1,decision_tree,4,True,56.864,27.3026486353405,0.1,0.8
WindyCartPole-v1,decision_tree,6,False,48.28,27.4061043910522,0.1,0.8
WindyCartPole-v1,decision_tree,6,True,55.436,27.306885742117,0.1,0.8
WindyCartPole-v1,decision_tree,8,False,50.458,27.2509437155654,0.1,0.8
WindyCartPole-v1,decision_tree,8,True,45.276,27.0634981447124,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,1,False,58.248,14.5849151215492,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,1,True,43.194,14.5261770153262,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,2,False,51.688,26.1297707785173,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,2,True,30.728,20.4184697344442,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,4,False,53.55,35.5213986928105,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,4,True,46.526,40.0237916863689,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,6,False,48.24,59.1305924543947,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,6,True,46.344,51.2068086052132,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,8,False,38.484,53.9140187090739,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,8,True,31.906,50.4007645583903,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,1,False,38.792,34.7087122087028,0.1,0.8
