env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence_power,wind_power
WindyCartPole-v1,linear_tree_logistic,8.0,False,78.875,80.07428496988905,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,1.0,True,74.408,59.5027790694549,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,6.0,True,72.195,77.57587514370802,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,1.0,True,71.166,38.98151104459996,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,8.0,True,67.566,97.71136531687534,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,1.0,False,62.787,59.29281335308264,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,6.0,False,60.987,86.0432827815764,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,6.0,True,57.169,105.3733452220609,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,2.0,True,50.351,72.59386534527617,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,4.0,True,48.476,81.82018681409357,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,2.0,True,45.332,45.4542895526339,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,8.0,True,38.711,77.15361202242256,0.1,0.4
WindyCartPole-v1,decision_tree,1.0,True,37.406,26.15237937763995,0.1,0.4
WindyCartPole-v1,decision_tree,2.0,False,31.366,26.15630651023401,0.1,0.4
WindyCartPole-v1,decision_tree,1.0,False,15.076,26.46655160520032,0.1,0.4
WindyCartPole-v1,DDQN,,,95.036,33.47390544635717,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,1.0,False,88.788,38.3874504888048,0.1,0.5
WindyCartPole-v1,decision_tree,6.0,True,79.516,25.96064437345943,0.1,0.5
WindyCartPole-v1,decision_tree,8.0,False,78.594,25.7147651983612,0.1,0.5
WindyCartPole-v1,decision_tree,6.0,False,77.226,25.792050850749742,0.1,0.5
WindyCartPole-v1,decision_tree,2.0,True,76.941,25.776379394601054,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,4.0,False,75.049,61.18320519926981,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,6.0,False,74.86,103.35945665241788,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,4.0,True,72.789,66.02760481666185,0.1,0.5
WindyCartPole-v1,decision_tree,4.0,True,72.111,25.75364931841189,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,2.0,False,72.036,51.28837907435172,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,2.0,False,70.753,66.20705154551752,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,4.0,False,70.712,81.66777344722253,0.1,0.5
WindyCartPole-v1,decision_tree,8.0,True,69.32,25.61612952971725,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,8.0,False,67.706,90.52675805689304,0.1,0.5
WindyCartPole-v1,decision_tree,4.0,False,62.22,25.7659799903568,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,8.0,True,59.997,96.68075300431686,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,8.0,False,59.497,79.52429944366943,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,6.0,False,58.133,86.63911867613918,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,1.0,True,56.204,58.90640219557326,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,6.0,True,56.19,77.25853326214627,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,1.0,False,52.67,59.14245204101006,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,1.0,True,49.647,38.34939206800008,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,6.0,True,48.967,104.07527865705477,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,4.0,True,40.621,81.89266330223283,0.1,0.5
WindyCartPole-v1,linear_tree_ridge,2.0,True,38.085,71.55872642772745,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,2.0,True,34.896,44.86891861531407,0.1,0.5
WindyCartPole-v1,linear_tree_logistic,8.0,True,34.862,76.52780913315357,0.1,0.5
WindyCartPole-v1,decision_tree,1.0,True,33.66,25.7391348781937,0.1,0.5
WindyCartPole-v1,decision_tree,2.0,False,27.432,26.064331765820945,0.1,0.5
WindyCartPole-v1,decision_tree,1.0,False,15.208,25.874553524460808,0.1,0.5
