env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,wind_power,turbulence_power
WindyCartPole-v1,decision_tree,1,True,30.806,26.745114295916377,0.1,0.6
WindyCartPole-v1,decision_tree,2,False,24.809,26.867208190576005,0.1,0.6
WindyCartPole-v1,decision_tree,2,True,70.638,26.827977844786094,0.1,0.6
WindyCartPole-v1,decision_tree,4,False,56.029,26.888922325938353,0.1,0.6
WindyCartPole-v1,decision_tree,4,True,70.335,26.45931369872752,0.1,0.6
WindyCartPole-v1,decision_tree,6,False,67.773,26.854481740516135,0.1,0.6
WindyCartPole-v1,decision_tree,6,True,73.906,26.715958961383386,0.1,0.6
WindyCartPole-v1,decision_tree,8,False,69.284,26.665389483863514,0.1,0.6
WindyCartPole-v1,decision_tree,8,True,61.865,26.700886527115493,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,1,False,77.441,13.981798904972818,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,1,True,45.551,13.93882672169656,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,2,False,66.054,24.988860916825633,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,2,True,30.454,19.468652131082948,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,4,False,66.191,33.5956364762581,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,4,True,58.495,37.91921793315669,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,6,False,56.535,56.34919301317768,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,6,True,51.117,48.54295682453979,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,8,False,50.693,50.88402895863334,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,8,True,33.568,47.50877183627264,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,1,False,47.896,34.44186673208618,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,1,True,46.724,34.39114039893845,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,2,False,59.321,39.716026651607365,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,2,True,36.267,45.35319361954394,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,4,False,62.244,54.557238625409674,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,4,True,37.381,54.757086327278564,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,6,False,62.909,73.7264690584813,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,6,True,46.722,74.90717871666452,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,8,False,58.087,62.688635305662196,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,8,True,53.842,68.71836558820252,0.1,0.6
WindyCartPole-v1,DDQN,,,38.079,44.30773258226319,0.1,0.8
WindyCartPole-v1,decision_tree,1,False,15.391,26.845241114937302,0.1,0.8
WindyCartPole-v1,decision_tree,1,True,24.253,26.825412897373525,0.1,0.8
WindyCartPole-v1,decision_tree,2,False,20.329,26.510198681686262,0.1,0.8
WindyCartPole-v1,decision_tree,2,True,58.466,26.877413317141585,0.1,0.8
WindyCartPole-v1,decision_tree,4,False,44.075,26.767262824730572,0.1,0.8
WindyCartPole-v1,decision_tree,4,True,58.622,26.826747432704448,0.1,0.8
WindyCartPole-v1,decision_tree,6,False,46.899,26.77683046546835,0.1,0.8
WindyCartPole-v1,decision_tree,6,True,56.663,26.729225491061193,0.1,0.8
WindyCartPole-v1,decision_tree,8,False,49.619,26.7706440073359,0.1,0.8
WindyCartPole-v1,decision_tree,8,True,45.976,26.739644423177314,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,1,False,58.334,13.931428772242603,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,1,True,42.746,13.869603541851871,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,2,False,50.266,24.863657502088884,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,2,True,30.448,19.37303865606936,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,4,False,52.286,33.66885768657002,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,4,True,46.302,38.08260072999007,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,6,False,48.939,56.11768887799098,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,6,True,46.245,48.479219937290516,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,8,False,39.416,50.72718122082402,0.1,0.8
WindyCartPole-v1,linear_tree_logistic,8,True,31.317,47.54335463166971,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,1,False,38.901,33.911727796200616,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,1,True,38.606,34.00086512459204,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,2,False,44.096,40.23806481313498,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,2,True,37.46,46.03882175654031,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,4,False,53.839,53.982663180965474,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,4,True,34.651,54.073255605898815,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,6,False,53.355,74.33246061287602,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,6,True,41.556,74.98602006930408,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,8,False,47.508,62.419130335943414,0.1,0.8
WindyCartPole-v1,linear_tree_ridge,8,True,47.48,68.20057232518955,0.1,0.8
WindyCartPole-v1,DDQN,,,30.281,44.28012948713715,0.1,1.0
